number,section,title,status,year,abstract,authors,venue,paper_url,paper_label,slides_url,doi_url,bibtex,media,comment
1,other,Optimal Timing of a Multi-Stage Project Under Market Uncertainty,,,,"René Caldentey, Rafael Epstein and Denis Saure",Technical Report,OptTiming.pdf,,,,,,
2,other,Does GenAI Impose a Creativity Tax?,,2025,,Jian Gao and Sébastien Martin,MIT Sloan Management Review,https://sloanreview.mit.edu/article/does-genai-impose-a-creativity-tax/,Article,,,,,
3,working,Near Optimal Control in Ride Hailing Platforms with Strategic Servers,,,"Motivated by applications in online marketplaces such as ride-hailing, we study how strategic servers impact the system performance. We consider a discrete-time process in which, heterogeneous types of customers and servers arrive. Each customer joins their type's queue, while servers might join a different type's queue depending on the prices posted by the system operator and an inconvenience cost. Then the system operator, constrained by a compatibility graph, decides the matching. The objective is to design an optimal control (pricing and matching scheme) to maximize the profit minus the expected waiting times. We develop a general framework that enables us to analyze a broad range of strategic behaviors. In particular, we encode servers' behavior in a properly defined *cost function* that can be tailored to various settings. Using this general cost function, we introduce a novel probabilistic fluid problem. The probabilistic fluid model provides an upper bound on the achievable net profit. We then study the system under a large market regime in which the arrival rates are scaled by $\eta$ and present a probabilistic two-price policy and a max-weight matching policy which results in a net profit-loss of at most $O(\eta^{1/3})$. In addition, under a broad class of customer pricing policies, we show that any matching policy has net profit-loss of at least $\Omega(\eta^{1/3})$. To show generality of our framework, we present multiple extensions to our model and analysis. We conclude the discussion by presenting numerical simulations comparing different cost models and analyzing performance of the proposed pricing and matching policies.",Sushil Mahavir Varma and Siva Theja Maguluri,,https://arxiv.org/abs/2008.03762,,,,,,
4,working,Randomized FIFO Mechanisms,,,"We study the matching of jobs to workers in a queue, e.g. a ridesharing platform dispatching drivers to pick up riders at an airport. Under FIFO dispatching, the heterogeneity in trip earnings incentivizes drivers to cherry-pick, increasing riders' waiting time for a match and resulting in a loss of efficiency and reliability. We first present the direct FIFO mechanism, which offers lower-earning trips to drivers further down the queue. The option to skip the rest of the line incentivizes drivers to accept all dispatches, but the mechanism would be considered unfair since drivers closer to the head of the queue may have lower priority for trips to certain destinations. To avoid the use of unfair dispatch rules, we introduce a family of randomized FIFO mechanisms, which send declined trips gradually down the queue in a randomized manner. We prove that a randomized FIFO mechanism achieves the first best throughput and the second best revenue in equilibrium. Extensive counterfactual simulations using data from the City of Chicago demonstrate substantial improvements of revenue and throughput, highlighting the effectiveness of using waiting times to align incentives and reduce the variability in driver earnings."," Hongyao Ma, Hamid Nazerzadeh and Chiwei Yan",,https://arxiv.org/abs/2111.10706,,,https://doi.org/10.1145/3490486.3538353,,UCLA Anderson Review|https://anderson-review.ucla.edu/a-matching-mechanism-to-reduce-uber-lyft-customer-wait-improve-revenue/,
5,working,"Matching Queues, Flexibility and Incentives",Major Revision,,"Problem definition: In many matching markets, some agents are fully flexible, while others only accept a subset of jobs. Conventional wisdom suggests reserving flexible agents, but this can backfire: anticipating higher matching chances, agents may misreport as specialized, reducing overall matches. We ask how platforms can design simple matching policies that remain effective when agents act strategically. Methodology/results: We model job allocation as a matching queue and analyze equilibrium throughput performance under different policies when agents report their types. We show that flexibility reservation is optimal under full information but can perform poorly with private information, sometimes substantially worse than random assignment. To address this, we propose a new policy -- flexibility reservation with fallback -- that guarantees robust performance across settings. Managerial implications: Our results underscore the importance of accounting for strategic reporting in policy design. The proposed fallback policy combines robustness with simplicity, making it practical to implement in platforms such as ride-hailing and affordable housing allocation.","Peter Frazier, Hongyao Ma, Hamid Nazerzadeh, and Chiwei Yan",MSOM,https://arxiv.org/abs/2006.08863,,,,,,
6,working,Optimal Design of Default Donations,Major Revision,,"Nonprofit fundraising websites often display a set of suggested donation amounts, allowing prospective donors to effortlessly select an amount from this menu of suggestions instead of manually inputting their ideal donation. Although this strategy is effective at shaping behavior, it can also backfire: suggested amounts attract donors with both lower and higher ideal donations, potentially leading to a net decrease in revenue. To address this challenge, we present a comprehensive framework for designing a menu of suggestions to maximize fundraising revenue in the presence of heterogeneous donors. Our analysis reveals the limitations of a greedy approach. Instead, we design an algorithm based on dynamic programming principles that efficiently finds an optimal menu. Additionally, we shed light on the value of information by comparing against a benchmark that knows the largest amount that each donor would select. If the nonprofit has information about each donor's ideal donation, it can obtain a constant-factor guarantee with respect to this full-information benchmark. If the nonprofit only has distributional information, we characterize how the guarantee depends on donor heterogeneity and the size of the menu. Our algorithm is a readily-implementable tool for nonprofits, and our theoretical findings translate into guidelines for the design of fundraising websites: (i) market segmentation can be quite valuable, (ii) larger menus can serve as a partial substitute for segmentation, and (iii) menus that include suggested amounts below the most common donation are often suboptimal. As a case study, we apply our optimization framework to experimental data from Altmann et al. (2019). Our counterfactual analysis suggests that the optimal menu could increase revenue by more than 3%.",Scott Rodilitz,Operations Research,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4733483,,,,,,
7,working,Human-AI Interactions and Societal Pitfalls,,,"When working with generative artificial intelligence (AI), users may see productivity gains, but the AI-generated content may not match their preferences exactly. To study this effect, we introduce a Bayesian framework in which heterogeneous users choose how much information to share with the AI, facing a trade-off between output fidelity and communication cost. We show that the interplay between these individual-level decisions and AI training may lead to societal challenges. Outputs may become more homogenized, especially when the AI is trained on AI-generated content, potentially triggering a homogenization death spiral. And any AI bias may propagate to become societal bias. A solution to the homogenization and bias issues is to reduce human-AI interaction frictions and enable users to flexibly share information, leading to personalized outputs without sacrificing productivity.",Jian Gao and Sébastien Martin,,https://arxiv.org/abs/2309.10448,,,,,UCLA Anderson Review|https://anderson-review.ucla.edu/ai-from-ai-a-future-of-generic-and-biased-online-content/;KellogInsight|https://insight.kellogg.northwestern.edu/article/trade-off-generative-ai;WSJ|https://www.wsj.com/tech/ai/ai-chatbots-feedback-results-fa549914,
8,conference,The Scope of Sequential Screening with Ex-post Participation Constraints,,2017,"We study the classic sequential screening problem in the presence of ex post participation constraints. We establish necessary and sufficient conditions that determine when the optimal selling mechanism is either static or sequential. In the static contract, the buyers are not screened with respect to their interim type and the object is sold at a posted price. In the sequential contract, the buyers are screened with respect to their interim type and a menu of quantities is offered. We completely characterize the optimal sequential contract with binary interim types and a continuum of ex post values. Importantly, the optimal sequential contract randomizes the allocation of the low-type buyer and awards a deterministic allocation to the high type buyer. Finally, we provide additional results for the case of multiple interim types.",Dirk Bergemann and Gabriel Weintraub,ACM Conference on Economics and Computation,,,,https://dl.acm.org/doi/10.1145/3033274.3085102,,,
9,conference,Spatial Capacity Planning,,2019,"We study the relationship between capacity and performance for a service firm with spatial operations, in the sense that requests arrive with origin-destination pairs. An example of such a system is a ride-hailing platform in which each customer arrives in the system with the need to travel from an origin to a destination. We propose a parsimonious representation of a spatial multiserver system through a state-dependent queueing model that captures spatial frictions as well as spatial economies of scale through the service rate. In a classical $M/M/n$ queueing model, the square root safety (SRS) staffing rule is known to balance server utilization and customer wait times. By contrast, we find that the SRS rule does not lead to such a balance in spatial systems. In a spatial environment, pick-up times increase the load in the system; furthermore, they are an endogenous source of extra workload that leads the system to only operate efficiently if there is sufficient imbalance between supply and demand. In heavy traffic, we derive the mapping from load to operating regimes and establish implications on various metrics of interest. In particular, to obtain a balance of utilization and wait times, the service firm should use a higher safety factor, proportional to the offered load to the power of $2/3$ . We also discuss implications of these results for general systems.",Omar Besbes and Ilan Lobel,ACM Conference on Economics and Computation,,,,https://doi.org/10.1145/3328526.3329614,,,
10,conference,Dynamic Pricing and Matching for Two-Sided Markets with Strategic Servers,,2021,"Motivated by applications in online marketplaces such as ride-hailing, we study how strategic servers impact the system performance. We consider a discrete-time process in which, heterogeneous types of customers and servers arrive. Each customer joins their type's queue, while servers might join a different type's queue depending on the prices posted by the system operator and an inconvenience cost. Then the system operator, constrained by a compatibility graph, decides the matching. The objective is to design an optimal control (pricing and matching scheme) to maximize the profit minus the expected waiting times. We develop a general framework that enables us to analyze a broad range of strategic behaviors. In particular, we encode servers' behavior in a properly defined *cost function* that can be tailored to various settings. Using this general cost function, we introduce a novel probabilistic fluid problem. The probabilistic fluid model provides an upper bound on the achievable net profit. We then study the system under a large market regime in which the arrival rates are scaled by $\eta$ and present a probabilistic two-price policy and a max-weight matching policy which results in a net profit-loss of at most $O(\eta^{1/3})$. In addition, under a broad class of customer pricing policies, we show that any matching policy has net profit-loss of at least $\Omega(\eta^{1/3})$. To show generality of our framework, we present multiple extensions to our model and analysis. We conclude the discussion by presenting numerical simulations comparing different cost models and analyzing performance of the proposed pricing and matching policies.",Sushil Mahavir Varma and Siva Theja Maguluri,ACM SIGMETRICS,,,,https://doi.org/10.1145/3410220.3456272,,,
